Gamma	GammaRot	J	Ka	Kc	GammaVib	v1	v2	v3	v4	v5	v6	Tag	Obs	Uncertainty	Source
1	1	0	0	0	1	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0	0	0	Marvel
3	1	0	0	0	3	0	0	0	1	0	0	0-0-0-0-0-0-1-0-0	938.035191351	0.000505375	Marvel
4	1	0	0	0	4	0	0	0	0	0	1	0-0-0-0-0-0-0-0-1	989.250266747	4.3482E-05	Marvel
1	1	0	0	0	1	0	0	1	0	0	0	0-0-0-0-0-1-0-0-0	1100.44254	0.00074	98PeFlPr
1	1	0	0	0	1	0	1	0	0	0	0	0-0-0-0-1-0-0-0-0	1701.619038947	0.000425054	Marvel
1	1	0	0	0	1	0	0	0	2	0	0	0-0-0-0-0-0-2-0-0	1865.84444	0.0026	05LoUlBe
2	1	0	0	0	2	0	0	0	1	0	1	0-0-0-0-0-0-1-0-1	1930.02676	0.00013	05LoUlBe
1	1	0	0	0	1	0	0	0	0	0	2	0-0-0-0-0-0-0-0-2	1974.32541	0.0026	05LoUlBe
3	1	0	0	0	3	0	0	1	1	0	0	0-0-0-0-0-1-1-0-0	2038.90981	0.00026	05LoUlBe
1	1	0	0	0	1	1	0	0	0	0	0	0-0-0-1-0-0-0-0-0	2060.91963	0.0026	05LoUlBe
4	1	0	0	0	4	0	0	1	0	0	1	0-0-0-0-0-1-0-0-1	2072.66611	0.0026	05LoUlBe
4	1	0	0	0	4	0	0	0	0	1	0	0-0-0-0-0-0-0-1-0	2162.9233	0.0026	05LoUlBe
1	1	0	0	0	1	0	0	2	0	0	0	0-0-0-0-0-2-0-0-0	2201.73284	0.00015	05LoUlBe
2	2	1	0	1	1	0	0	0	0	0	0	1-0-1-0-0-0-0-0-0	1.950304999	1.7E-06	Marvel
3	3	1	1	1	1	0	0	0	0	0	0	1-1-1-0-0-0-0-0-0	5.59834099	6.7E-08	Marvel
4	4	1	1	0	1	0	0	0	0	0	0	1-1-0-0-0-0-0-0-0	5.80168389	6.747E-06	Marvel
4	2	1	0	1	3	0	0	0	1	0	0	1-0-1-0-0-0-1-0-0	939.973586426	0.000503707	Marvel
1	3	1	1	1	3	0	0	0	1	0	0	1-1-1-0-0-0-1-0-0	943.16892401	4.8111E-05	Marvel
2	4	1	1	0	3	0	0	0	1	0	0	1-1-0-0-0-0-1-0-0	943.35359829	4.6443E-05	Marvel
3	2	1	0	1	4	0	0	0	0	0	1	1-0-1-0-0-0-0-0-1	991.197586747	4.1815E-05	Marvel
2	3	1	1	1	4	0	0	0	0	0	1	1-1-1-0-0-0-0-0-1	995.300115394	4.3439E-05	Marvel
1	4	1	1	0	4	0	0	0	0	0	1	1-1-0-0-0-0-0-0-1	995.51002192	4.1773E-05	Marvel
2	2	1	0	1	1	0	1	0	0	0	0	1-0-1-0-1-0-0-0-0	1703.555918884	0.00040504	Marvel
3	3	1	1	1	1	0	1	0	0	0	0	1-1-1-0-1-0-0-0-0	1707.212810248	0.010003407	Marvel
4	4	1	1	0	1	0	1	0	0	0	0	1-1-0-0-1-0-0-0-0	1707.414923882	0.010006747	Marvel
2	2	1	0	1	1	0	0	0	2	0	0	1-0-1-0-0-0-2-0-0	1869.725886501	0.0004	Marvel
3	3	1	1	1	1	0	0	0	2	0	0	1-1-1-0-0-0-2-0-0	1872.74473	0.0026	05LoUlBe
4	4	1	1	0	1	0	0	0	2	0	0	1-1-0-0-0-0-2-0-0	1872.9177	0.0026	05LoUlBe
4	3	1	1	1	2	0	0	0	1	0	1	1-1-1-0-0-0-1-0-1	1935.03073	0.0026	05LoUlBe
3	4	1	1	0	2	0	0	0	1	0	1	1-1-0-0-0-0-1-0-1	1935.21395	0.0026	05LoUlBe
2	2	1	0	1	1	0	0	0	0	0	2	1-0-1-0-0-0-0-0-2	1976.26831	0.0026	05LoUlBe
3	3	1	1	1	1	0	0	0	0	0	2	1-1-1-0-0-0-0-0-2	1981.12166	0.0026	05LoUlBe
4	4	1	1	0	1	0	0	0	0	0	2	1-1-0-0-0-0-0-0-2	1981.33104	0.0026	05LoUlBe
2	2	1	0	1	1	1	0	0	0	0	0	1-0-1-1-0-0-0-0-0	2062.87494	0.0026	05LoUlBe
3	3	1	1	1	1	1	0	0	0	0	0	1-1-1-1-0-0-0-0-0	2066.44016	0.0026	05LoUlBe
4	4	1	1	0	1	1	0	0	0	0	0	1-1-0-1-0-0-0-0-0	2066.67617	0.0026	05LoUlBe
3	2	1	0	1	4	0	0	1	0	0	1	1-0-1-0-0-1-0-0-1	2074.64423	0.0026	05LoUlBe
2	3	1	1	1	4	0	0	1	0	0	1	1-1-1-0-0-1-0-0-1	2078.93876	0.0026	05LoUlBe
1	4	1	1	0	4	0	0	1	0	0	1	1-1-0-0-0-1-0-0-1	2079.14755	0.0026	05LoUlBe
